6,06000181,6.0,5.25,3.6,,,,2.5,5.75,7.25
6,06000182,3.4,5.25,2.8,,,,2.25,5.25,6.25
6,06000183,5.0,5.25,2.0,,,,6.0,6.25,7.5
6,06000184,3.8,5.0,2.4,,,,4.75,5.0,6.25
6,06000185,3.6,4.25,1.8,,,,6.5,4.25,7.25
6,06000186,4.0,6.25,4.0,,,,7.25,6.0,6.25
6,06000187,3.6,5.0,3.2,,,,6.25,7.0,7.5
6,06000188,4.6,6.25,3.4,,,,8.0,6.5,7.0
6,06000189,,7.5,,,,,8.25,7.25,
6,06000190,4.8,4.25,4.4,,,,5.75,5.0,6.0
6,06000191,4.6,6.25,3.8,,,,6.0,5.75,6.5
6,06000192,7.4,9.25,8.2,,,,,,
6,06000193,4.6,8.5,4.2,,,,8.0,7.0,8.75
6,06000194,1.6,5.5,3.2,,,,3.75,5.5,7.0
6,06000195,6.4,6.5,4.0,,,,9.25,7.25,9.25
6,06000196,4.6,4.75,3.6,,,,5.25,7.25,6.75
6,06000197,5.4,3.75,2.4,,,,4.25,5.75,6.25
6,06000198,4.6,4.75,2.2,,,,7.75,6.25,6.25
6,06000199,4.6,4.75,2.6,,,,7.25,6.0,6.25
6,06000200,5.2,5.0,2.2,,,,6.25,5.5,5.5
6,06000201,3.0,4.25,4.4,,,,8.25,6.25,7.5
6,06000202,7.6,6.5,,,,,8.5,7.25,
6,06000203,,7.25,,,,,9.75,9.75,
6,06000204,3.6,3.5,,,,,5.25,5.25,
6,06000205,,8.0,,,,,9.75,10.0,
6,06000206,6.8,6.5,5.0,,,,8.0,7.25,8.75
6,06000207,3.4,4.75,3.0,,,,6.75,7.25,8.0
6,06000208,5.6,6.0,3.2,,,,7.0,6.75,8.5
6,06000209,5.6,4.25,3.6,,,,6.0,6.0,8.5
6,06000210,3.8,6.25,2.4,,,,6.0,5.25,6.25
6,06000211,2.6,4.5,3.6,,,,3.75,5.25,4.5
6,06000212,1.8,4.25,2.8,,,,5.75,3.75,4.5
6,06000213,5.6,7.25,2.6,,,,6.25,7.0,7.25
6,06000214,3.6,5.75,3.0,,,,3.5,3.75,6.25
6,06000215,4.2,6.0,3.2,,,,3.75,4.75,6.75
6,06000216,3.0,4.75,2.4,,,,6.75,5.5,7.25
6,06000217,1.8,2.5,,,,,1.75,3.0,
6,06000218,6.0,6.25,2.2,,,,7.5,8.0,8.25
6,06000219,5.0,4.25,2.6,,,,8.5,7.0,7.25
6,06000220,2.8,5.25,3.0,,,,6.75,7.5,7.25
6,06000221,3.8,4.5,3.6,,,,6.5,6.25,6.0
6,06000222,3.0,4.75,2.6,,,,4.25,4.75,5.75
6,06000223,3.4,3.5,,,,,3.25,3.25,
6,06000224,5.4,6.0,2.6,,,,7.5,8.0,9.0
6,06000225,2.0,5.25,,,,,3.25,4.75,
6,06000226,3.4,4.75,3.4,,,,5.5,8.25,8.5
6,06000227,4.0,7.0,4.2,,,,7.25,7.5,7.25
6,06000228,1.4,5.75,,,,,3.5,4.25,
6,06000229,2.2,4.0,3.2,,,,5.5,5.25,6.0
6,06000230,3.6,4.0,3.0,,,,5.5,5.25,7.25
6,06000231,3.2,5.25,3.4,,,,5.5,6.5,6.5
6,06000232,2.6,3.25,2.2,,,,2.25,4.75,5.25
6,06000233,4.0,5.0,2.2,,,,5.5,6.5,6.0
6,06000234,2.2,3.25,2.2,,,,3.0,3.5,5.0
6,06000235,6.4,6.0,2.2,,,,8.0,6.25,7.75
6,06000236,5.8,5.5,4.0,,,,8.0,8.5,8.75
6,06000238,5.8,6.0,2.6,,,,7.5,7.5,7.75
6,06000239,3.2,5.25,2.6,,,,5.25,5.0,5.5
6,06000240,2.8,4.25,2.8,,,,5.0,6.75,8.25
6,06000241,4.8,6.75,2.2,,,,7.0,7.0,8.5
6,06000242,3.2,6.75,2.2,,,,5.0,7.0,8.5
6,06000243,3.8,5.5,2.6,,,,6.75,5.25,6.5
6,06000244,4.0,5.25,2.8,,,,6.0,7.5,8.25
6,06000245,3.6,6.75,2.0,,,,8.25,6.75,8.0
6,06000246,,7.0,,,,,9.0,9.0,
6,06000247,,6.75,,,,,6.0,5.0,
6,06000248,4.8,3.75,3.0,,,,8.25,8.25,7.75
6,06000249,3.2,5.25,2.4,,,,2.75,5.25,5.25
6,06000250,4.0,6.0,3.6,,,,4.0,5.25,8.0
6,06000251,3.0,3.0,2.4,,,,4.25,5.25,5.75
6,06000252,2.2,4.0,,,,,5.25,7.25,
6,06000253,3.6,3.5,2.4,,,,3.25,5.0,3.75
6,06000254,4.2,6.75,2.4,,,,7.25,7.5,8.0
6,06000255,4.8,4.75,1.8,,,,4.0,6.0,7.5
6,06000256,4.8,3.5,2.8,,,,5.25,7.25,6.5
6,06000257,,5.0,,,,,4.75,5.0,
6,06000258,6.6,8.0,4.2,,,,9.5,8.25,9.0
6,06000259,3.8,6.0,4.8,,,,7.75,7.0,5.75
6,06000260,3.2,2.75,,,,,5.0,3.5,
6,06000261,,4.25,,,,,6.25,6.75,
6,06000262,3.2,5.75,,,,,4.75,5.25,
6,06000263,5.4,5.5,2.4,,,,6.0,7.5,7.75
6,06000264,5.8,7.25,6.4,,,,8.0,8.75,9.5
6,06000265,5.4,5.25,7.4,,,,7.0,6.5,8.75
6,06000266,2.2,3.0,,,,,4.25,4.75,
6,06000267,3.0,6.75,2.4,,,,5.5,6.5,6.75
